category,brand,family_key,model,model_year,device_line,chip_family,storage_options,carrier_status,default_condition,source_sheet,base_price_usd,fair_price_from_sheet_cad,maximum_buy_price_cad,max_listing_price_to_alert_cad,condition_prices_usd,deduction_rules_usd,aliases,notes
pixel,google,google_pixel_8_pro__unlocked,google pixel 8 pro,,,,,unlocked,b_plus,Pixel Master,20.00,28.00,22.40,24.64,"{""a"":50.0,""b_plus"":20.0,""open"":90.0,""sealed"":160.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",8 pro|google pixel 8 pro|google pixel 8 pro unlocked|pixel 8 pro,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_9__carrier_locked,google pixel 9,,,,,carrier_locked,ab_grade,Pixel Master,55.00,77.00,61.60,67.76,"{""ab_grade"":55.0,""c"":15.0,""d"":10.0,""new"":135.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":20.0},""demo"":{""kind"":""flat_usd"",""value"":40.0}}",google pixel 9|google pixel 9 carrier locked|google pixel 9 locked|pixel 9,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_9_a__carrier_locked,google pixel 9 a,,,,,carrier_locked,ab_grade,Pixel Master,70.00,98.00,78.40,86.24,"{""ab_grade"":70.0,""c"":50.0,""d"":20.0,""doa"":10.0,""new"":150.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":20.0},""demo"":{""kind"":""flat_usd"",""value"":40.0}}",google pixel 9 a|google pixel 9 a carrier locked|google pixel 9 a locked|pixel 9 a,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_9_a__unlocked,google pixel 9 a,,,,,unlocked,b_plus,Pixel Master,20.00,28.00,22.40,24.64,"{""a"":50.0,""b_plus"":20.0,""open"":70.0,""sealed"":150.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",google pixel 9 a|google pixel 9 a unlocked|pixel 9 a,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_9_fold__carrier_locked,google pixel 9 fold,,,,,carrier_locked,ab_grade,Pixel Master,190.00,266.00,212.80,234.08,"{""ab_grade"":190.0,""c"":110.0,""doa"":10.0,""new"":310.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":40.0},""demo"":{""kind"":""flat_usd"",""value"":100.0}}",9 fold|google pixel 9 fold|google pixel 9 fold carrier locked|google pixel 9 fold locked|pixel 9 fold,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_9_fold__unlocked,google pixel 9 fold,,,,,unlocked,a,Pixel Master,110.00,154.00,123.20,135.52,"{""a"":110.0,""open"":190.0,""sealed"":310.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",9 fold|google pixel 9 fold|google pixel 9 fold unlocked|pixel 9 fold,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_9_pro__carrier_locked,google pixel 9 pro,,,,,carrier_locked,ab_grade,Pixel Master,105.00,147.00,117.60,129.36,"{""ab_grade"":105.0,""c"":35.0,""d"":10.0,""new"":195.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":20.0},""demo"":{""kind"":""flat_usd"",""value"":50.0}}",9 pro|google pixel 9 pro|google pixel 9 pro carrier locked|google pixel 9 pro locked|pixel 9 pro,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_9_pro__unlocked,google pixel 9 pro,,,,,unlocked,b_plus,Pixel Master,10.00,14.00,11.20,12.32,"{""a"":35.0,""b_plus"":10.0,""open"":105.0,""sealed"":195.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",9 pro|google pixel 9 pro|google pixel 9 pro unlocked|pixel 9 pro,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_9_pro_xl__carrier_locked,google pixel 9 pro xl,,,,,carrier_locked,ab_grade,Pixel Master,130.00,182.00,145.60,160.16,"{""ab_grade"":130.0,""c"":60.0,""doa"":10.0,""new"":240.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":30.0},""demo"":{""kind"":""flat_usd"",""value"":60.0}}",9 pro xl|google pixel 9 pro xl|google pixel 9 pro xl carrier locked|google pixel 9 pro xl locked|pixel 9 pro xl,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_9_pro_xl__unlocked,google pixel 9 pro xl,,,,,unlocked,a,Pixel Master,60.00,84.00,67.20,73.92,"{""a"":60.0,""open"":130.0,""sealed"":240.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",9 pro xl|google pixel 9 pro xl|google pixel 9 pro xl unlocked|pixel 9 pro xl,Unlocked Pixel sheet uses B+ as the default used condition.
